0000000001202608281000            0000000011202608281000            00140
0000000007202608            00419
0000000017202608            004C00321
000000020202            009C00700
000000010202            0327
00000000162026082            0510
00000000062026082            06C00200
0000000020202            06C00622
0000000010202            15
0000000004202608281            5
00000000132026082810            233
000000001520260826            45
0000000014202608281            420
000000000520260828            5C09918
00000000092026            9C00160
00000000192026            C00212
000000000820260            C00514
000000001820260            
000000000220260827100            
000000001220260828100            0
00000000032026082810            
