2026082700000000011101010001D00000150000DEPOSITO EFECTIVO
2026082700000000012101010001C00000150000DEPOSITO EFECTIVO
2026082700000000022101010001D00000075050RETIRO EFECTIVO
2026082700000000021101010001C00000075050RETIRO EFECTIVO
2026082700000000031101010001D00000320000DEPOSITO NOMINA
2026082700000000032101010001C00000320000DEPOSITO NOMINA
2026082700000000041101010001D00000010025DEPOSITO AHORRO
2026082700000000042101010001C00000010025DEPOSITO AHORRO
2026082700000000052101010001D00000050000RETIRO CAJERO
2026082700000000051101010001C00000050000RETIRO CAJERO
